,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num
0,2016-ausopen-1101,2016,ausopen,1101,Novak Djokovic,Hyeon Chung,,,,,,,,,,,1101
1,2016-ausopen-1102,2016,ausopen,1102,Quentin Halys,Ivan Dodig,,,,,,,,,,,1102
2,2016-ausopen-1104,2016,ausopen,1104,Teymuraz Gabashvili,Andreas Seppi,,,,,,,,,,,1104
3,2016-ausopen-1107,2016,ausopen,1107,Evgeny Donskoy,Inigo Cervantes,,,,,,,,,,,1107
4,2016-ausopen-1108,2016,ausopen,1108,Vasek Pospisil,Gilles Simon,,,,,,,,,,,1108
5,2016-ausopen-1109,2016,ausopen,1109,Jo-Wilfried Tsonga,Marcos Baghdatis,,,,,,,,,,,1109
6,2016-ausopen-1110,2016,ausopen,1110,Omar Jasika,Illya Marchenko,,,,,,,,,,,1110
7,2016-ausopen-1111,2016,ausopen,1111,Pablo Andujar,Pierre-Hugues Herbert,,,,,,,,,,,1111
8,2016-ausopen-1112,2016,ausopen,1112,Noah Rubin,Benoit Paire,,,,,,,,,,,1112
9,2016-ausopen-1113,2016,ausopen,1113,Guillermo Garcia-Lopez,Paul-Henri Mathieu,,,,,,,,,,,1113
10,2016-ausopen-1114,2016,ausopen,1114,Victor Estrella Burgos,Daniel Brands,,,,,,,,,,,1114
11,2016-ausopen-1115,2016,ausopen,1115,Austin Krajicek,Di Wu,,,,,,,,,,,1115
12,2016-ausopen-1116,2016,ausopen,1116,Philipp Kohlschreiber,Kei Nishikori,,,,,,,,,,,1116
13,2016-ausopen-1117,2016,ausopen,1117,Roger Federer,Nikoloz Basilashvili,,,,,,,,,,,1117
14,2016-ausopen-1118,2016,ausopen,1118,Ricardas Berankis,Alexandr Dolgopolov,,,,,,,,,,,1118
15,2016-ausopen-1120,2016,ausopen,1120,Paolo Lorenzi,Grigor Dimitrov,,,,,,,,,,,1120
16,2016-ausopen-1121,2016,ausopen,1121,Dominic Thiem,Leonardo Mayer,,,,,,,,,,,1121
17,2016-ausopen-1122,2016,ausopen,1122,Julien Benneteau,Nicolas Almagro,,,,,,,,,,,1122
18,2016-ausopen-1124,2016,ausopen,1124,Sergiy Stakhovsky,David Goffin,,,,,,,,,,,1124
